Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ABCCS;06;3MD035;2020-11-08;16:00;0355169;VOLLEY BALL CLUB MALOUIN;0857865;AVENIR SPORTIF DE BOUFFERE;;;;MARVILLE;;;;
ABCCS;06;3MD036;2020-11-08;14:00;0448335;SAINT-HERBLAIN VOLLEY-BALL;0449605;ST NAZAIRE VB ATLANTIQUE 3;;;;COMPLEXE SPORTIF VIGNEAU;;;;
ABCCS;07;3MD037;2020-11-22;15:00;;xxxxx;0448335;SAINT-HERBLAIN VOLLEY-BALL;;;;;;;;
ABCCS;07;3MD038;2020-11-22;14:00;0449605;ST NAZAIRE VB ATLANTIQUE 3;0355169;VOLLEY BALL CLUB MALOUIN;;;;COUBERTIN;;;;
ABCCS;07;3MD039;2020-11-22;16:00;0857865;AVENIR SPORTIF DE BOUFFERE;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;BHS;;;;
ABCCS;07;3MD040;2020-11-22;14:00;0442477;ASB REZE 3;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;GYMNASE LIBERGE;;;;
ABCCS;07;3MD041;2020-11-22;15:00;0293600;SAINT-RENAN IROISE VOLLEY;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR 2;;;;SALLE GUYADER;;;;
ABCCS;07;3MD042;2020-11-22;16:00;0353652;C.P.B. RENNES 35;0351417;RENNES ETUDIANTS CLUB 3;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;08;3MD043;2020-11-29;16:00;0353652;C.P.B. RENNES 35;;xxxxx;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;08;3MD044;2020-11-29;15:00;0351417;RENNES ETUDIANTS CLUB 3;0293600;SAINT-RENAN IROISE VOLLEY;;;;COURTEMANCHE;;;;
