Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ABCCS;01;3MD001;2021-10-03;15:00;0293600;SAINT-RENAN IROISE VOLLEY;;xxxxx;;;;SALLE GUYADER;;;;
ABCCS;01;3MD002;2021-10-03;14:00;0351417;RENNES ETUDIANTS CLUB 3;0857865;AVENIR SPORTIF DE BOUFFERE;;;;COURTEMANCHE;;;;
ABCCS;01;3MD003;2021-10-03;14:00;0353652;C.P.B. RENNES 35;0442477;ASB REZE 3;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;01;3MD004;2021-10-03;14:00;0448335;SAINT-HERBLAIN VOLLEY-BALL;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR;;;;COMPLEXE SPORTIF VIGNEAU;;;;
ABCCS;01;3MD005;2021-10-03;15:00;0355169;VOLLEY BALL CLUB MALOUIN;0534442;ASPTT LAVAL;;;;MARVILLE;;;;
ABCCS;01;3MD006;2021-10-03;15:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;COMPLEXE DES TERRES ROUGES;;;;
ABCCS;02;3MD007;2021-10-10;15:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;;xxxxx;;;;COMPLEXE DES TERRES ROUGES;;;;
ABCCS;02;3MD008;2021-10-10;15:00;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;0534442;ASPTT LAVAL;;;;SALLE DES 2 RUISSEAUX;;;;
ABCCS;02;3MD009;2021-10-10;16:00;0355169;VOLLEY BALL CLUB MALOUIN;0448335;SAINT-HERBLAIN VOLLEY-BALL;;;;MARVILLE;;;;
ABCCS;02;3MD010;2021-10-10;15:00;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR;0353652;C.P.B. RENNES 35;;;;GYMNASE DE BEAUFEUILLAGE;;;;
ABCCS;02;3MD011;2021-10-10;15:00;0442477;ASB REZE 3;0351417;RENNES ETUDIANTS CLUB 3;;;;GYMNASE LIBERGE;;;;
