Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ABCCS;02;3MD012;2021-10-10;16:00;0857865;AVENIR SPORTIF DE BOUFFERE;0293600;SAINT-RENAN IROISE VOLLEY;;;;BHS;;;;
ABCCS;03;3MD013;2021-10-24;15:00;;xxxxx;0857865;AVENIR SPORTIF DE BOUFFERE;;;;;;;;
ABCCS;03;3MD014;2021-10-23;20:00;0293600;SAINT-RENAN IROISE VOLLEY;0442477;ASB REZE 3;;;;SALLE GUYADER;;;;
ABCCS;03;3MD015;2021-10-24;14:00;0351417;RENNES ETUDIANTS CLUB 3;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR;;;;COURTEMANCHE;;;;
ABCCS;03;3MD016;2021-10-24;16:00;0353652;C.P.B. RENNES 35;0355169;VOLLEY BALL CLUB MALOUIN;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;03;3MD017;2021-10-24;14:00;0448335;SAINT-HERBLAIN VOLLEY-BALL;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;COMPLEXE SPORTIF VIGNEAU;;;;
ABCCS;03;3MD018;2021-10-23;21:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0534442;ASPTT LAVAL;;;;GYMNASE NOEMIE HAMARD;;;;
ABCCS;04;3MD019;2021-10-31;15:00;0534442;ASPTT LAVAL;;xxxxx;;;;GYMNASE NOEMIE HAMARD;;;;
ABCCS;04;3MD020;2021-10-30;21:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0448335;SAINT-HERBLAIN VOLLEY-BALL;;;;COMPLEXE DES TERRES ROUGES;;;;
ABCCS;04;3MD021;2021-10-31;15:00;0353652;C.P.B. RENNES 35;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;04;3MD022;2021-10-31;16:00;0355169;VOLLEY BALL CLUB MALOUIN;0351417;RENNES ETUDIANTS CLUB 3;;;;MARVILLE;;;;
ABCCS;04;3MD023;2021-10-31;15:00;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR;0293600;SAINT-RENAN IROISE VOLLEY;;;;GYMNASE DE BEAUFEUILLAGE;;;;
ABCCS;04;3MD024;2021-10-31;15:00;0442477;ASB REZE 3;0857865;AVENIR SPORTIF DE BOUFFERE;;;;GYMNASE LIBERGE;;;;
ABCCS;05;3MD025;2021-11-07;15:00;;xxxxx;0442477;ASB REZE 3;;;;;;;;
ABCCS;05;3MD026;2021-11-07;16:00;0857865;AVENIR SPORTIF DE BOUFFERE;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR;;;;BHS;;;;
ABCCS;05;3MD027;2021-11-07;15:00;0293600;SAINT-RENAN IROISE VOLLEY;0355169;VOLLEY BALL CLUB MALOUIN;;;;SALLE GUYADER;;;;
ABCCS;05;3MD028;2021-11-07;14:00;0351417;RENNES ETUDIANTS CLUB 3;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;COURTEMANCHE;;;;
ABCCS;05;3MD029;2021-11-07;14:00;0353652;C.P.B. RENNES 35;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;05;3MD030;2021-11-07;14:00;0448335;SAINT-HERBLAIN VOLLEY-BALL;0534442;ASPTT LAVAL;;;;COMPLEXE SPORTIF VIGNEAU;;;;
ABCCS;06;3MD031;2021-11-21;14:00;0448335;SAINT-HERBLAIN VOLLEY-BALL;;xxxxx;;;;COMPLEXE SPORTIF VIGNEAU;;;;
ABCCS;06;3MD032;2021-11-21;15:00;0534442;ASPTT LAVAL;0353652;C.P.B. RENNES 35;;;;GYMNASE NOEMIE HAMARD;;;;
ABCCS;06;3MD033;2021-11-21;15:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0351417;RENNES ETUDIANTS CLUB 3;;;;COMPLEXE DES TERRES ROUGES;;;;
ABCCS;06;3MD034;2021-11-21;15:00;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;0293600;SAINT-RENAN IROISE VOLLEY;;;;SALLE DES 2 RUISSEAUX;;;;
ABCCS;06;3MD035;2021-11-21;16:00;0355169;VOLLEY BALL CLUB MALOUIN;0857865;AVENIR SPORTIF DE BOUFFERE;;;;MARVILLE;;;;
ABCCS;06;3MD036;2021-11-21;15:00;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR;0442477;ASB REZE 3;;;;GYMNASE DE BEAUFEUILLAGE;;;;
ABCCS;07;3MD037;2021-11-28;15:00;;xxxxx;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR;;;;;;;;
ABCCS;07;3MD038;2021-11-28;16:00;0442477;ASB REZE 3;0355169;VOLLEY BALL CLUB MALOUIN;;;;GYMNASE ARTHUR DUGAST;;;;
ABCCS;07;3MD039;2021-11-28;16:00;0857865;AVENIR SPORTIF DE BOUFFERE;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;BHS;;;;
ABCCS;07;3MD040;2021-11-28;15:00;0293600;SAINT-RENAN IROISE VOLLEY;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;SALLE GUYADER;;;;
ABCCS;07;3MD041;2021-11-28;14:00;0351417;RENNES ETUDIANTS CLUB 3;0534442;ASPTT LAVAL;;;;COURTEMANCHE;;;;
ABCCS;07;3MD042;2021-11-28;16:00;0353652;C.P.B. RENNES 35;0448335;SAINT-HERBLAIN VOLLEY-BALL;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;08;3MD043;2021-12-05;16:00;0353652;C.P.B. RENNES 35;;xxxxx;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;08;3MD044;2021-12-05;14:00;0448335;SAINT-HERBLAIN VOLLEY-BALL;0351417;RENNES ETUDIANTS CLUB 3;;;;COMPLEXE SPORTIF VIGNEAU;;;;
ABCCS;08;3MD045;2021-12-05;15:00;0293600;SAINT-RENAN IROISE VOLLEY;0534442;ASPTT LAVAL;;;;SALLE GUYADER;;;;
ABCCS;08;3MD046;2021-12-04;21:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0857865;AVENIR SPORTIF DE BOUFFERE;;;;COMPLEXE DES TERRES ROUGES;;;;
ABCCS;08;3MD047;2021-12-05;15:00;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;0442477;ASB REZE 3;;;;SALLE DES 2 RUISSEAUX;;;;
ABCCS;08;3MD048;2021-12-05;16:00;0355169;VOLLEY BALL CLUB MALOUIN;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR;;;;MARVILLE;;;;
ABCCS;09;3MD049;2021-12-19;15:00;;xxxxx;0355169;VOLLEY BALL CLUB MALOUIN;;;;;;;;
ABCCS;09;3MD050;2021-12-19;15:00;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;GYMNASE DE BEAUFEUILLAGE;;;;
ABCCS;09;3MD051;2021-12-18;20:00;0442477;ASB REZE 3;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;GYMNASE LIBERGE;;;;
ABCCS;09;3MD052;2021-12-18;21:00;0534442;ASPTT LAVAL;0857865;AVENIR SPORTIF DE BOUFFERE;;;;BHS;;;;
ABCCS;09;3MD053;2021-12-18;20:00;0293600;SAINT-RENAN IROISE VOLLEY;0448335;SAINT-HERBLAIN VOLLEY-BALL;;;;SALLE GUYADER;;;;
ABCCS;09;3MD054;2021-12-19;14:00;0351417;RENNES ETUDIANTS CLUB 3;0353652;C.P.B. RENNES 35;;;;COURTEMANCHE;;;;
ABCCS;10;3MD055;2022-01-16;14:00;0351417;RENNES ETUDIANTS CLUB 3;;xxxxx;;;;COURTEMANCHE;;;;
ABCCS;10;3MD056;2022-01-16;14:00;0353652;C.P.B. RENNES 35;0293600;SAINT-RENAN IROISE VOLLEY;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;10;3MD057;2022-01-16;14:00;0448335;SAINT-HERBLAIN VOLLEY-BALL;0857865;AVENIR SPORTIF DE BOUFFERE;;;;COMPLEXE SPORTIF VIGNEAU;;;;
ABCCS;10;3MD058;2022-01-15;20:00;0534442;ASPTT LAVAL;0442477;ASB REZE 3;;;;GYMNASE NOEMIE HAMARD;;;;
ABCCS;10;3MD059;2022-01-15;21:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR;;;;COMPLEXE DES TERRES ROUGES;;;;
ABCCS;10;3MD060;2022-01-16;15:00;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;0355169;VOLLEY BALL CLUB MALOUIN;;;;SALLE DES 2 RUISSEAUX;;;;
ABCCS;11;3MD061;2022-01-23;15:00;;xxxxx;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;;;;;
ABCCS;11;3MD062;2022-01-22;21:00;0355169;VOLLEY BALL CLUB MALOUIN;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;MARVILLE;;;;
ABCCS;11;3MD063;2022-01-23;15:00;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR;0534442;ASPTT LAVAL;;;;GYMNASE DE BEAUFEUILLAGE;;;;
ABCCS;11;3MD064;2022-01-23;15:00;0442477;ASB REZE 3;0448335;SAINT-HERBLAIN VOLLEY-BALL;;;;GYMNASE LIBERGE;;;;
ABCCS;11;3MD065;2022-01-23;16:00;0857865;AVENIR SPORTIF DE BOUFFERE;0353652;C.P.B. RENNES 35;;;;BHS;;;;
ABCCS;11;3MD066;2022-01-23;15:00;0293600;SAINT-RENAN IROISE VOLLEY;0351417;RENNES ETUDIANTS CLUB 3;;;;SALLE GUYADER;;;;
ABCCS;12;3MD067;2022-01-30;15:00;;xxxxx;0293600;SAINT-RENAN IROISE VOLLEY;;;;;;;;
ABCCS;12;3MD068;2022-01-30;16:00;0857865;AVENIR SPORTIF DE BOUFFERE;0351417;RENNES ETUDIANTS CLUB 3;;;;BHS;;;;
ABCCS;12;3MD069;2022-01-30;15:00;0442477;ASB REZE 3;0353652;C.P.B. RENNES 35;;;;GYMNASE LIBERGE;;;;
ABCCS;12;3MD070;2022-01-30;15:00;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR;0448335;SAINT-HERBLAIN VOLLEY-BALL;;;;GYMNASE DE BEAUFEUILLAGE;;;;
ABCCS;12;3MD071;2022-01-30;16:00;0534442;ASPTT LAVAL;0355169;VOLLEY BALL CLUB MALOUIN;;;;GYMNASE NOEMIE HAMARD;;;;
ABCCS;12;3MD072;2022-01-30;15:00;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;SALLE DES 2 RUISSEAUX;;;;
ABCCS;13;3MD073;2022-02-13;15:00;;xxxxx;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;;;;;
ABCCS;13;3MD074;2022-02-13;15:00;0534442;ASPTT LAVAL;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;GYMNASE NOEMIE HAMARD;;;;
ABCCS;13;3MD075;2022-02-13;14:00;0448335;SAINT-HERBLAIN VOLLEY-BALL;0355169;VOLLEY BALL CLUB MALOUIN;;;;COMPLEXE SPORTIF VIGNEAU;;;;
ABCCS;13;3MD076;2022-02-13;14:00;0353652;C.P.B. RENNES 35;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;13;3MD077;2022-02-13;14:00;0351417;RENNES ETUDIANTS CLUB 3;0442477;ASB REZE 3;;;;COURTEMANCHE;;;;
ABCCS;13;3MD078;2022-02-13;15:00;0293600;SAINT-RENAN IROISE VOLLEY;0857865;AVENIR SPORTIF DE BOUFFERE;;;;SALLE GUYADER;;;;
ABCCS;14;3MD079;2022-02-20;16:00;0857865;AVENIR SPORTIF DE BOUFFERE;;xxxxx;;;;BHS;;;;
ABCCS;14;3MD080;2022-02-19;20:00;0442477;ASB REZE 3;0293600;SAINT-RENAN IROISE VOLLEY;;;;GYMNASE LIBERGE;;;;
ABCCS;14;3MD081;2022-02-20;15:00;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR;0351417;RENNES ETUDIANTS CLUB 3;;;;GYMNASE DE BEAUFEUILLAGE;;;;
ABCCS;14;3MD082;2022-02-20;16:00;0355169;VOLLEY BALL CLUB MALOUIN;0353652;C.P.B. RENNES 35;;;;MARVILLE;;;;
ABCCS;14;3MD083;2022-02-20;15:00;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;0448335;SAINT-HERBLAIN VOLLEY-BALL;;;;SALLE DES 2 RUISSEAUX;;;;
ABCCS;14;3MD084;2022-02-19;21:00;0534442;ASPTT LAVAL;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;COMPLEXE DES TERRES ROUGES;;;;
ABCCS;15;3MD085;2022-02-27;15:00;;xxxxx;0534442;ASPTT LAVAL;;;;;;;;
ABCCS;15;3MD086;2022-02-27;14:00;0448335;SAINT-HERBLAIN VOLLEY-BALL;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;COMPLEXE SPORTIF VIGNEAU;;;;
ABCCS;15;3MD087;2022-02-27;14:00;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;0353652;C.P.B. RENNES 35;;;;SALLE DES 2 RUISSEAUX;;;;
ABCCS;15;3MD088;2022-02-27;14:00;0351417;RENNES ETUDIANTS CLUB 3;0355169;VOLLEY BALL CLUB MALOUIN;;;;COURTEMANCHE;;;;
ABCCS;15;3MD089;2022-02-27;15:00;0293600;SAINT-RENAN IROISE VOLLEY;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR;;;;SALLE GUYADER;;;;
ABCCS;15;3MD090;2022-02-26;21:00;0857865;AVENIR SPORTIF DE BOUFFERE;0442477;ASB REZE 3;;;;BHS;;;;
ABCCS;16;3MD091;2022-03-13;15:00;0442477;ASB REZE 3;;xxxxx;;;;GYMNASE LIBERGE;;;;
ABCCS;16;3MD092;2022-03-13;15:00;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR;0857865;AVENIR SPORTIF DE BOUFFERE;;;;GYMNASE DE BEAUFEUILLAGE;;;;
ABCCS;16;3MD093;2022-03-13;16:00;0355169;VOLLEY BALL CLUB MALOUIN;0293600;SAINT-RENAN IROISE VOLLEY;;;;MARVILLE;;;;
ABCCS;16;3MD094;2022-03-13;15:00;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;0351417;RENNES ETUDIANTS CLUB 3;;;;SALLE DES 2 RUISSEAUX;;;;
ABCCS;16;3MD095;2022-03-13;15:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0353652;C.P.B. RENNES 35;;;;COMPLEXE DES TERRES ROUGES;;;;
ABCCS;16;3MD096;2022-03-13;15:00;0534442;ASPTT LAVAL;0448335;SAINT-HERBLAIN VOLLEY-BALL;;;;GYMNASE NOEMIE HAMARD;;;;
ABCCS;17;3MD097;2022-03-20;15:00;;xxxxx;0448335;SAINT-HERBLAIN VOLLEY-BALL;;;;;;;;
ABCCS;17;3MD098;2022-03-20;16:00;0353652;C.P.B. RENNES 35;0534442;ASPTT LAVAL;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;17;3MD099;2022-03-20;14:00;0351417;RENNES ETUDIANTS CLUB 3;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;COURTEMANCHE;;;;
ABCCS;17;3MD100;2022-03-20;15:00;0293600;SAINT-RENAN IROISE VOLLEY;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;SALLE GUYADER;;;;
ABCCS;17;3MD101;2022-03-20;16:00;0857865;AVENIR SPORTIF DE BOUFFERE;0355169;VOLLEY BALL CLUB MALOUIN;;;;BHS;;;;
ABCCS;17;3MD102;2022-03-20;14:00;0442477;ASB REZE 3;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR;;;;GYMNASE LIBERGE;;;;
ABCCS;18;3MD103;2022-03-27;15:00;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR;;xxxxx;;;;SALLE STEREDENN;;;;
ABCCS;18;3MD104;2022-03-26;20:00;0355169;VOLLEY BALL CLUB MALOUIN;0442477;ASB REZE 3;;;;MARVILLE;;;;
ABCCS;18;3MD105;2022-03-27;15:00;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;0857865;AVENIR SPORTIF DE BOUFFERE;;;;SALLE DES 2 RUISSEAUX;;;;
ABCCS;18;3MD106;2022-03-26;21:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0293600;SAINT-RENAN IROISE VOLLEY;;;;COMPLEXE DES TERRES ROUGES;;;;
ABCCS;18;3MD107;2022-03-27;15:00;0534442;ASPTT LAVAL;0351417;RENNES ETUDIANTS CLUB 3;;;;GYMNASE NOEMIE HAMARD;;;;
ABCCS;18;3MD108;2022-03-27;14:00;0448335;SAINT-HERBLAIN VOLLEY-BALL;0353652;C.P.B. RENNES 35;;;;COMPLEXE SPORTIF VIGNEAU;;;;
ABCCS;19;3MD109;2022-04-10;15:00;;xxxxx;0353652;C.P.B. RENNES 35;;;;;;;;
ABCCS;19;3MD110;2022-04-10;14:00;0351417;RENNES ETUDIANTS CLUB 3;0448335;SAINT-HERBLAIN VOLLEY-BALL;;;;COURTEMANCHE;;;;
ABCCS;19;3MD111;2022-04-10;16:00;0534442;ASPTT LAVAL;0293600;SAINT-RENAN IROISE VOLLEY;;;;GYMNASE NOEMIE HAMARD;;;;
ABCCS;19;3MD112;2022-04-09;21:00;0857865;AVENIR SPORTIF DE BOUFFERE;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;BHS;;;;
ABCCS;19;3MD113;2022-04-10;16:00;0442477;ASB REZE 3;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;GYMNASE ARTHUR DUGAST;;;;
ABCCS;19;3MD114;2022-04-10;15:00;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR;0355169;VOLLEY BALL CLUB MALOUIN;;;;GYMNASE DE BEAUFEUILLAGE;;;;
ABCCS;20;3MD115;2022-04-24;16:00;0355169;VOLLEY BALL CLUB MALOUIN;;xxxxx;;;;MARVILLE;;;;
ABCCS;20;3MD116;2022-04-24;15:00;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR;;;;SALLE DES 2 RUISSEAUX;;;;
ABCCS;20;3MD117;2022-04-23;20:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0442477;ASB REZE 3;;;;COMPLEXE DES TERRES ROUGES;;;;
ABCCS;20;3MD118;2022-04-23;21:00;0857865;AVENIR SPORTIF DE BOUFFERE;0534442;ASPTT LAVAL;;;;BHS;;;;
ABCCS;20;3MD119;2022-04-23;20:00;0448335;SAINT-HERBLAIN VOLLEY-BALL;0293600;SAINT-RENAN IROISE VOLLEY;;;;COMPLEXE SPORTIF VIGNEAU;;;;
ABCCS;20;3MD120;2022-04-24;16:00;0353652;C.P.B. RENNES 35;0351417;RENNES ETUDIANTS CLUB 3;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;21;3MD121;2022-05-01;15:00;;xxxxx;0351417;RENNES ETUDIANTS CLUB 3;;;;;;;;
ABCCS;21;3MD122;2022-05-01;15:00;0293600;SAINT-RENAN IROISE VOLLEY;0353652;C.P.B. RENNES 35;;;;SALLE GUYADER;;;;
ABCCS;21;3MD123;2022-04-30;21:00;0857865;AVENIR SPORTIF DE BOUFFERE;0448335;SAINT-HERBLAIN VOLLEY-BALL;;;;BHS;;;;
ABCCS;21;3MD124;2022-05-01;16:00;0442477;ASB REZE 3;0534442;ASPTT LAVAL;;;;GYMNASE ARTHUR DUGAST;;;;
ABCCS;21;3MD125;2022-04-30;21:00;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;GYMNASE DE BEAUFEUILLAGE;;;;
ABCCS;21;3MD126;2022-05-01;16:00;0355169;VOLLEY BALL CLUB MALOUIN;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;MARVILLE;;;;
ABCCS;22;3MD127;2022-05-08;15:00;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;xxxxx;;;;SALLE DES 2 RUISSEAUX;;;;
ABCCS;22;3MD128;2022-05-07;21:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0355169;VOLLEY BALL CLUB MALOUIN;;;;COMPLEXE DES TERRES ROUGES;;;;
ABCCS;22;3MD129;2022-05-08;16:00;0534442;ASPTT LAVAL;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR;;;;GYMNASE NOEMIE HAMARD;;;;
ABCCS;22;3MD130;2022-05-07;20:00;0448335;SAINT-HERBLAIN VOLLEY-BALL;0442477;ASB REZE 3;;;;COMPLEXE SPORTIF VIGNEAU;;;;
ABCCS;22;3MD131;2022-05-08;16:00;0353652;C.P.B. RENNES 35;0857865;AVENIR SPORTIF DE BOUFFERE;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;22;3MD132;2022-05-08;14:00;0351417;RENNES ETUDIANTS CLUB 3;0293600;SAINT-RENAN IROISE VOLLEY;;;;COURTEMANCHE;;;;
