Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ABCCS;01;3MA001;2022-10-02;13:30;0812329;ENT. PUYGOUZON/CASTELNAU LEVIS;0188913;BOURGES VOLLEY-BALL;;;;LA CAYRIE;;;;
ABCCS;01;3MA002;2022-10-02;14:00;0442477;ASB REZE 3;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION;;;;HALLE DE LA TROCARDIERE;;;;
ABCCS;01;3MA003;2022-10-02;16:00;0314739;T.O.A.C. - T.U.C. VOLLEY-BALL 3;0099513;TARASCON FOIX V.B.;;;;PALAIS DES SPORTS ANDRE BROUAT;;;;
ABCCS;01;3MA004;2022-10-02;15:00;0374833;SAINT AVERTIN SPORTS;0864160;CSA CHATELLERAULT;;;;GYMNASE LEON BRULON;;;;
ABCCS;01;3MA005;2022-10-02;13:30;0319191;VOLLEY BALMA QUINT FONSEGRIVES;0857865;AVENIR SPORTIF DE BOUFFERE;;;;COLLÈGE DE BALMA;;;;
ABCCS;01;3MA006;2022-10-02;15:00;0334980;UNION SPORTIVE TALENCAISE;0374861;TOURS VOLLEY-BALL 3;;;;LÉO LAGRANGE;;;;
ABCCS;02;3MA007;2022-10-09;13:30;0374861;TOURS VOLLEY-BALL 3;0188913;BOURGES VOLLEY-BALL;;;;SALLE GRENON;;;;
ABCCS;02;3MA008;2022-10-09;15:00;0334980;UNION SPORTIVE TALENCAISE;0319191;VOLLEY BALMA QUINT FONSEGRIVES;;;;LÉO LAGRANGE;;;;
ABCCS;02;3MA009;2022-10-09;16:00;0857865;AVENIR SPORTIF DE BOUFFERE;0374833;SAINT AVERTIN SPORTS;;;;BHS;;;;
ABCCS;02;3MA010;2022-10-09;14:00;0864160;CSA CHATELLERAULT;0314739;T.O.A.C. - T.U.C. VOLLEY-BALL 3;;;;SALLE OMNISPORT;;;;
ABCCS;02;3MA011;2022-10-09;15:00;0099513;TARASCON FOIX V.B.;0442477;ASB REZE 3;;;;GYMNASE MUNICIPALE;;;;
ABCCS;02;3MA012;2022-10-09;13:30;0812329;ENT. PUYGOUZON/CASTELNAU LEVIS;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION;;;;LA CAYRIE;;;;
ABCCS;03;3MA013;2022-10-23;15:00;0188913;BOURGES VOLLEY-BALL;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION;;;;GYMNASE DES MERLATTES;;;;
ABCCS;03;3MA014;2022-10-23;16:00;0812329;ENT. PUYGOUZON/CASTELNAU LEVIS;0099513;TARASCON FOIX V.B.;;;;LA CAYRIE;;;;
ABCCS;03;3MA015;2022-10-23;15:00;0442477;ASB REZE 3;0864160;CSA CHATELLERAULT;;;;GYMNASE LIBERGE;;;;
ABCCS;03;3MA016;2022-10-23;16:00;0314739;T.O.A.C. - T.U.C. VOLLEY-BALL 3;0857865;AVENIR SPORTIF DE BOUFFERE;;;;PALAIS DES SPORTS ANDRE BROUAT;;;;
ABCCS;03;3MA017;2022-10-23;15:00;0374833;SAINT AVERTIN SPORTS;0334980;UNION SPORTIVE TALENCAISE;;;;GYMNASE LEON BRULON;;;;
ABCCS;03;3MA018;2022-10-23;15:00;0319191;VOLLEY BALMA QUINT FONSEGRIVES;0374861;TOURS VOLLEY-BALL 3;;;;COLLÈGE DE BALMA;;;;
ABCCS;04;3MA019;2022-10-30;15:00;0188913;BOURGES VOLLEY-BALL;0319191;VOLLEY BALMA QUINT FONSEGRIVES;;;;GYMNASE DES MERLATTES;;;;
ABCCS;04;3MA020;2022-10-30;15:00;0374861;TOURS VOLLEY-BALL 3;0374833;SAINT AVERTIN SPORTS;;;;SALLE GRENON;;;;
ABCCS;04;3MA021;2022-10-30;15:00;0334980;UNION SPORTIVE TALENCAISE;0314739;T.O.A.C. - T.U.C. VOLLEY-BALL 3;;;;LÉO LAGRANGE;;;;
ABCCS;04;3MA022;2022-10-29;20:00;0857865;AVENIR SPORTIF DE BOUFFERE;0442477;ASB REZE 3;;;;BHS;;;;
ABCCS;04;3MA023;2022-10-30;14:00;0864160;CSA CHATELLERAULT;0812329;ENT. PUYGOUZON/CASTELNAU LEVIS;;;;SALLE OMNISPORT;;;;
ABCCS;04;3MA024;2022-10-29;16:00;0099513;TARASCON FOIX V.B.;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION;;;;GYMNASE MUNICIPALE;;;;
ABCCS;05;3MA025;2022-11-05;20:00;0188913;BOURGES VOLLEY-BALL;0099513;TARASCON FOIX V.B.;;;;GYMNASE DES MERLATTES;;;;
ABCCS;05;3MA026;2022-11-06;14:00;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION;0864160;CSA CHATELLERAULT;;;;JEAN JAHAN 2;;;;
ABCCS;05;3MA027;2022-11-06;13:30;0812329;ENT. PUYGOUZON/CASTELNAU LEVIS;0857865;AVENIR SPORTIF DE BOUFFERE;;;;LA CAYRIE;;;;
ABCCS;05;3MA028;2022-11-06;14:00;0442477;ASB REZE 3;0334980;UNION SPORTIVE TALENCAISE;;;;GYMNASE LIBERGE;;;;
ABCCS;05;3MA029;2022-11-06;16:00;0314739;T.O.A.C. - T.U.C. VOLLEY-BALL 3;0374861;TOURS VOLLEY-BALL 3;;;;PALAIS DES SPORTS ANDRE BROUAT;;;;
ABCCS;05;3MA030;2022-11-05;20:00;0374833;SAINT AVERTIN SPORTS;0319191;VOLLEY BALMA QUINT FONSEGRIVES;;;;GYMNASE LEON BRULON;;;;
ABCCS;06;3MA031;2022-11-19;20:00;0374833;SAINT AVERTIN SPORTS;0188913;BOURGES VOLLEY-BALL;;;;GYMNASE LEON BRULON;;;;
ABCCS;06;3MA032;2022-11-20;15:00;0319191;VOLLEY BALMA QUINT FONSEGRIVES;0314739;T.O.A.C. - T.U.C. VOLLEY-BALL 3;;;;COLLÈGE DE BALMA;;;;
ABCCS;06;3MA033;2022-11-20;13:30;0374861;TOURS VOLLEY-BALL 3;0442477;ASB REZE 3;;;;SALLE GRENON;;;;
ABCCS;06;3MA034;2022-11-20;13:30;0812329;ENT. PUYGOUZON/CASTELNAU LEVIS;0334980;UNION SPORTIVE TALENCAISE;;;;LA CAYRIE;;;;
ABCCS;06;3MA035;2022-11-19;21:00;0857865;AVENIR SPORTIF DE BOUFFERE;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION;;;;BHS;;;;
ABCCS;06;3MA036;2022-11-20;14:00;0864160;CSA CHATELLERAULT;0099513;TARASCON FOIX V.B.;;;;SALLE OMNISPORT;;;;
ABCCS;07;3MA037;2022-11-27;15:00;0188913;BOURGES VOLLEY-BALL;0864160;CSA CHATELLERAULT;;;;GYMNASE DES MERLATTES;;;;
ABCCS;07;3MA038;2022-11-26;20:00;0099513;TARASCON FOIX V.B.;0857865;AVENIR SPORTIF DE BOUFFERE;;;;GYMNASE MUNICIPALE;;;;
ABCCS;07;3MA039;2022-11-27;14:00;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION;0334980;UNION SPORTIVE TALENCAISE;;;;JEAN JAHAN 2;;;;
ABCCS;07;3MA040;2022-11-27;13:30;0812329;ENT. PUYGOUZON/CASTELNAU LEVIS;0374861;TOURS VOLLEY-BALL 3;;;;LA CAYRIE;;;;
ABCCS;07;3MA041;2022-11-27;15:00;0442477;ASB REZE 3;0319191;VOLLEY BALMA QUINT FONSEGRIVES;;;;GYMNASE LIBERGE;;;;
ABCCS;07;3MA042;2022-11-27;16:00;0314739;T.O.A.C. - T.U.C. VOLLEY-BALL 3;0374833;SAINT AVERTIN SPORTS;;;;PALAIS DES SPORTS ANDRE BROUAT;;;;
ABCCS;08;3MA043;2022-12-04;16:00;0314739;T.O.A.C. - T.U.C. VOLLEY-BALL 3;0188913;BOURGES VOLLEY-BALL;;;;PALAIS DES SPORTS ANDRE BROUAT;;;;
ABCCS;08;3MA044;2022-12-03;20:00;0374833;SAINT AVERTIN SPORTS;0442477;ASB REZE 3;;;;GYMNASE LEON BRULON;;;;
ABCCS;08;3MA045;2022-12-04;12:30;0319191;VOLLEY BALMA QUINT FONSEGRIVES;0812329;ENT. PUYGOUZON/CASTELNAU LEVIS;;;;PATRICK PÉPI;;;;
ABCCS;08;3MA046;2022-12-04;13:30;0374861;TOURS VOLLEY-BALL 3;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION;;;;SALLE GRENON;;;;
ABCCS;08;3MA047;2022-12-03;15:00;0334980;UNION SPORTIVE TALENCAISE;0099513;TARASCON FOIX V.B.;;;;LÉO LAGRANGE;;;;
ABCCS;08;3MA048;2022-12-04;16:00;0857865;AVENIR SPORTIF DE BOUFFERE;0864160;CSA CHATELLERAULT;;;;BHS;;;;
ABCCS;09;3MA049;2022-12-18;15:00;0188913;BOURGES VOLLEY-BALL;0857865;AVENIR SPORTIF DE BOUFFERE;;;;GYMNASE DES MERLATTES;;;;
ABCCS;09;3MA050;2022-12-18;14:00;0864160;CSA CHATELLERAULT;0334980;UNION SPORTIVE TALENCAISE;;;;SALLE OMNISPORT;;;;
ABCCS;09;3MA051;2022-12-17;18:00;0099513;TARASCON FOIX V.B.;0374861;TOURS VOLLEY-BALL 3;;;;GYMNASE MUNICIPALE;;;;
ABCCS;09;3MA052;2022-12-18;14:00;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION;0319191;VOLLEY BALMA QUINT FONSEGRIVES;;;;JEAN JAHAN 2;;;;
ABCCS;09;3MA053;2022-12-17;19:00;0812329;ENT. PUYGOUZON/CASTELNAU LEVIS;0374833;SAINT AVERTIN SPORTS;;;;SALLE PIERRE VALAX;;;;
ABCCS;09;3MA054;2022-12-18;14:00;0442477;ASB REZE 3;0314739;T.O.A.C. - T.U.C. VOLLEY-BALL 3;;;;GYMNASE LIBERGE;;;;
ABCCS;10;3MA055;2023-01-15;14:00;0442477;ASB REZE 3;0188913;BOURGES VOLLEY-BALL;;;;GYMNASE LIBERGE;;;;
ABCCS;10;3MA056;2023-01-15;16:00;0314739;T.O.A.C. - T.U.C. VOLLEY-BALL 3;0812329;ENT. PUYGOUZON/CASTELNAU LEVIS;;;;PALAIS DES SPORTS ANDRE BROUAT;;;;
ABCCS;10;3MA057;2023-01-14;20:00;0374833;SAINT AVERTIN SPORTS;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION;;;;GYMNASE LEON BRULON;;;;
ABCCS;10;3MA058;2023-01-14;20:30;0319191;VOLLEY BALMA QUINT FONSEGRIVES;0099513;TARASCON FOIX V.B.;;;;PATRICK PÉPI;;;;
ABCCS;10;3MA059;2023-01-15;15:00;0374861;TOURS VOLLEY-BALL 3;0864160;CSA CHATELLERAULT;;;;SALLE GRENON;;;;
ABCCS;10;3MA060;2023-01-15;15:00;0334980;UNION SPORTIVE TALENCAISE;0857865;AVENIR SPORTIF DE BOUFFERE;;;;LÉO LAGRANGE;;;;
ABCCS;11;3MA061;2023-01-22;15:00;0188913;BOURGES VOLLEY-BALL;0334980;UNION SPORTIVE TALENCAISE;;;;GYMNASE DES MERLATTES;;;;
ABCCS;11;3MA062;2023-01-22;16:00;0857865;AVENIR SPORTIF DE BOUFFERE;0374861;TOURS VOLLEY-BALL 3;;;;BHS;;;;
ABCCS;11;3MA063;2023-01-22;14:00;0864160;CSA CHATELLERAULT;0319191;VOLLEY BALMA QUINT FONSEGRIVES;;;;MARRONNERIE;;;;
